,brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen,untappdURL
108,Meg7,Mikerphone Brewing,121 Garlisch Dr.,Elk Grove Village,IL,,http://www.mikerphonebrewing.com,tap room,"-87.96762,42.029408",111717347.0,no,42.029408000000004,-87.96762,yes,no,no,https://untappd.com/MikerphoneBrewing
109,Mey6,McHenry Brewing Company,3425 Pearl St.,McHenry,IL,,https://www.facebook.com/mchenrybrewingcompany/,,"-88.26445,42.346596",119821971.0,no,42.346596000000005,-88.26445,no,no,no,https://untappd.com/ChainOLakesBrewingCompany
110,Mhg3,Myths and Legends Brewing,1115 Zygmunt Cir.,Westmont,IL,,http://mythsandlegendsbeer.com/info,tap room,,,no,,,yes,no,no,https://untappd.com/UrbanLegendBeer
111,Mk.7,Miskatonic Brewing Co.,1000 N. Frontage Rd.,Darien,IL,,http://www.miskatonicbrewing.com,tap room,"-87.969376,41.734222",112557835.0,no,41.734221999999995,-87.969376,yes,no,no,https://untappd.com/MiskatonicBrewingCompany
112,Mky7,Mickey Finn's Brewery,412 N. Milwaukee Ave.,Libertyville,IL,,http://mickeyfinnsbrewery.com,kitchen & beer,"-87.95417,42.287003",119642436.0,no,42.287003000000006,-87.95416999999999,no,no,yes,https://untappd.com/MickeyFinnsBrewery
113,Mly3,Maplewood Brewery & Distillery,2717 N. Maplewood Ave,Chicago,IL,Logan Square,http://www.mercenarycraft.com,tap room,"-87.69153,41.93118",618056487.0,yes,41.93118,-87.69153,yes,no,no,https://untappd.com/Maplewood
114,Mog6,Motor Row Brewing,2337 S. Michigan Ave.,Chicago,IL,South Loop,http://www.motorrowbrewing.com,tap room,"-87.623726,41.85007",605497989.0,yes,41.85007,-87.623726,yes,no,no,https://untappd.com/MotorRowBrewing
115,Mr.4,MyGrain Brewing Co.,50 E. Jefferson St.,Joliet,IL,,http://www.mygrainbrewing.com/,kitchen & beer,"-88.07964,41.525013",111541658.0,no,41.525013,-88.07964,no,no,yes,https://untappd.com/MyGrainBrewingCompany
116,Mrg7,Metropolitan Brewing,3057 N. Rockwell St.,Chicago,IL,Avondale,http://metrobrewing.com,tap room,"-87.69287,41.937077",111760798.0,yes,41.937077,-87.69287,yes,no,no,https://untappd.com/metrobrewing
117,Mu.8,Macushla Brewing Co.,1516 E. Lake Ave.,Glenview,IL,,https://www.facebook.com/macushlabeer/,tap room,,,no,,,yes,no,no,https://untappd.com/w/macushla-brewing-co/357382
118,Mzg7,Marz Community Brewing,3315 S. Halsted St.,Chicago,IL,Bridgeport,http://marzbrewing.com,tap room,"-87.64617,41.83388",111828268.0,yes,41.83388,-87.64617,yes,no,no,https://untappd.com/MarzCommunityBrewing
119,N g8,New Oberpfalz Brewing,121 E. Main St.,Griffith,IN,,http://www.newoberpfalz.com,kitchen & beer,"-87.42738,41.52278",98429578.0,no,41.52278,-87.42738,no,no,yes,https://untappd.com/NewOberpfalzBrewing
120,Ni.9,Nevin's Brewing Co.,12337 S. Rte. 59 #155,Plainfield,IL,,http://www.nevinsbrewing.com,kitchen & beer,"-88.20377,41.65859",615339302.0,no,41.658590000000004,-88.20376999999999,no,no,yes,https://untappd.com/Nevins_Brewing_Company
121,Nng4,Noon Whistle Brewing,800 E. Roosevelt Rd.,Lombard,IL,,http://www.noonwhistlebrewing.com,tap room,,,no,,,yes,no,no,https://untappd.com/NoonWhistle
122,O .10,Old Irving Brewing Co.,4419 W. Montrose Ave,Chicago,IL,Old Irving Park,http://www.oldirvingbrewing.com/,kitchen & beer,"-87.7392,41.960815",111755390.0,yes,41.960815000000004,-87.7392,no,no,yes,https://untappd.com/OldIrvingBrewingCompany
123,O .2,Oak Park Brewing Co.,155 S. Oak Park Ave.,Oak Park,IL,,http://oakparkbeer.com,kitchen & beer,"-87.79446,41.886402",605117293.0,no,41.886402000000004,-87.79446,no,no,yes,https://untappd.com/OakParkBrewingCompanyIL
124,O g1,Off Color Brewing,3925 W. Dickens Ave.,Chicago,IL,Hermosa,http://www.offcolorbrewing.com,"tour, Bottle Shop","-87.72537,41.919006",642123020.0,yes,41.919006,-87.72537,no,yes,no,https://untappd.com/OffColorBrewing
125,O g5,Off Square Brewing,11000 Delaware Pkwy.,Crown Point,IN,,http://offsquarebrewing.com/,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/OffSquareBrewing
126,O p9,Off Color Mousetrap,1460 N. Kingsbury St.,Chicago,IL,Lincoln Park,http://www.offcolorbrewing.com/taproom/,tap room,"-87.65349,41.91013",111767163.0,yes,41.91013,-87.65349,yes,no,no,https://untappd.com/OffColorBrewing
127,O y5,One Trick Pony Brewery,17845-17851 Chappel Ave.,Lansing,IL,,http://www.onetrickponybrewery.com,tap room,"-87.57214,41.57127",634780158.0,no,41.57127,-87.57214,yes,no,no,https://untappd.com/w/one-trick-pony/31051
128,Oe.8,Oswego Brewing Co.,61 Main St,Oswego,IL,,https://oswegobrewing.com/welcome,,"-88.35215,41.684093",54484222.0,no,41.684093,-88.35215,no,no,no,https://untappd.com/OswegoBrewingCo
129,On.4,Open Outcry Brewing Co.,10934 S. Western Ave.,Chicago,IL,Morgan Park,http://www.openoutcrybrewing.com/,kitchen & beer,"-87.68125,41.694508",111822545.0,yes,41.694508,-87.68125,no,no,yes,https://untappd.com/OpenOutcryBrew
130,OT.2,On Tour Brewing Co.,1725 W. Hubbard St.,Chicago,IL,West Town,http://ontourbrewingco.com/,tap room,"-87.67046,41.889824",111765066.0,yes,41.889824,-87.67045999999999,yes,no,no,https://untappd.com/OnTourBrewingCompany
131,Oyg8,Only Child Brewing,1350 Tri State Pkwy,Gurnee,IL,,http://onlychildbrewing.com,tap room,,,no,,,yes,no,no,https://untappd.com/onlychildbrewing
132,Pca10,Piece Brewery & Pizzeria,1927 W. North Ave.,Chicago,IL,Wicker Park,http://www.piecechicago.com,kitchen & beer,"-87.67611,41.910503",605068100.0,yes,41.910503000000006,-87.67611,no,no,yes,https://untappd.com/PieceBrewery
133,Pe.8,Pipeworks Brewing Co.,3912 W McLean Ave.,Chicago,IL,Hermosa,http://pdubs.net,Bottle Shop,"-87.72604,41.9181",111758729.0,yes,41.9181,-87.72604,no,no,no,https://untappd.com/pipeworksbrewery
134,Pi.4,Prairie Krafts Brewing Co.,1310 Busch Pkwy.,Buffalo Grove,IL,,http://www.prairiekrafts.com/gallery.html,tap room,"-87.93167,42.171387",119649807.0,no,42.171387,-87.93167,yes,no,no,https://untappd.com/PrairieKrafts
135,Pkg2,Peckish Pig,623 Howard St.,Evanston,IL,,http://thepeckishpig.com,kitchen & beer,"-87.67927,42.019444",616887312.0,no,42.019444,-87.67926999999999,no,no,yes,https://untappd.com/PeckishPig
136,Pl.4,Pollyanna Brewing Co.,431 Talcott Ave.,Lemont,IL,,http://www.pollyannabrewing.com,tap room,"-87.99842,41.67531",111806131.0,no,41.675309999999996,-87.99842,yes,no,no,https://untappd.com/PollyannaBrewingCompany
137,Ple4,Pollyanna Brewing Co. - Roselare,245 E Main St,Roselle,IL,,https://pollyannabrewing.com/pages/roselare,tap room,"-88.07544,41.982944",112519251.0,no,41.982944,-88.07544,yes,no,no,https://untappd.com/PollyannaBrewingCompany
138,Pr.7,Penrose Brewing Co.,509 Stevens St.,Geneva,IL,,http://penrosebrewing.com/,tap room,"-88.30982,41.89245",119507794.0,no,41.89245,-88.30982,yes,no,no,https://untappd.com/PenroseBrewingCompany
139,Pr.9,Pokro Brewing Co.,311 North Broad Street,Griffith,IN,,https://www.facebook.com/PokroBrewingCompanyInc,kitchen & beer,"-87.42766,41.526714",98428896.0,no,41.526714,-87.42766,no,no,yes,https://untappd.com/PokroBrewingCo
140,Pss10,Present Tense Fine Ales,,Chicago,IL,South Loop,http://presenttensefineales.com/,,,,no,,,no,no,no,https://untappd.com/PresentTenseFineAles
141,R y8,Ram Restaurant & Brewery,700 N. Milwaukee Ave.,Wheeling,IL,,http://www.theram.com/locations/il-wheeling/,kitchen & beer,"-87.91456,42.152607",112363586.0,no,42.152607,-87.91456,no,no,yes,https://untappd.com/theRAM
142,Rig8,Rabid Brewing,17759 Bretz Dr.,Homewood,IL,,http://rabidgod.com/,tap room,,,no,,,yes,no,no,https://untappd.com/RabidBrewing
143,Rig9,Ravinia Brewing,615 Roger Williams Ave.,Highland Park,IL,,http://www.raviniabrewing.com,,"-87.78612,42.165504",119651891.0,no,42.165504,-87.78612,no,no,no,https://untappd.com/RaviniaBrewingCompany
144,Rkd2,Rock Bottom – Lombard,94 Yorktown Shopping Center,Lombard,IL,,http://www.rockbottom.com/locations/lombard-yorktown-center,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/RockBottom
